start,tag,gate_suggest,face_mae,chest_mae,fabric_mae,garment_mae,vol,sbs,out
6a985abf_8affeb35a029f7d5.png,phase0_6a985abf_8affeb35a029f7d,hard,0.008,0.0269,0.0226,0.0,0.0,tmp_test/keep_outfit/review_local_phase0_6a985abf_8affeb35a029f7d/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985abf_8affeb35a029f7d/saree_out.png
6a985ed6_fba78c162559ae59.png,phase0_6a985ed6_fba78c162559ae5,hard,0.0135,0.0166,0.0153,0.0002,0.0,tmp_test/keep_outfit/review_local_phase0_6a985ed6_fba78c162559ae5/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985ed6_fba78c162559ae5/saree_out.png
6a985eff_7e8277525a0ea062.png,phase0_6a985eff_7e8277525a0ea06,hard,0.0299,0.011,0.0193,0.0,0.0,tmp_test/keep_outfit/review_local_phase0_6a985eff_7e8277525a0ea06/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985eff_7e8277525a0ea06/saree_out.png
6a985f15_234ee2c71ca25580.png,phase0_6a985f15_234ee2c71ca2558,hard,0.0278,0.0042,0.0074,0.0,0.0,tmp_test/keep_outfit/review_local_phase0_6a985f15_234ee2c71ca2558/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985f15_234ee2c71ca2558/saree_out.png
6a985f28_f4e7cd9f23146fca.png,phase0_6a985f28_f4e7cd9f23146fc,hard,0.0134,0.0086,0.0121,0.0,0.0,tmp_test/keep_outfit/review_local_phase0_6a985f28_f4e7cd9f23146fc/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985f28_f4e7cd9f23146fc/saree_out.png
6a985f3f_0c3fbb8c88d038b4.png,phase0_6a985f3f_0c3fbb8c88d038b,hard,0.04,0.0053,0.0075,0.0,0.0,tmp_test/keep_outfit/review_local_phase0_6a985f3f_0c3fbb8c88d038b/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985f3f_0c3fbb8c88d038b/saree_out.png
6a985f5c_c53e2a7cf13a94be.png,phase0_6a985f5c_c53e2a7cf13a94b,hard,0.0336,0.0179,0.0488,0.0204,0.0,tmp_test/keep_outfit/review_local_phase0_6a985f5c_c53e2a7cf13a94b/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985f5c_c53e2a7cf13a94b/saree_out.png
6a985f6e_f01fb5a4d4ea6910.png,phase0_6a985f6e_f01fb5a4d4ea691,hard,0.0043,0.0077,0.0006,0.0,0.0,tmp_test/keep_outfit/review_local_phase0_6a985f6e_f01fb5a4d4ea691/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985f6e_f01fb5a4d4ea691/saree_out.png
6a985fb0_1d05ad86cb36603e.png,phase0_6a985fb0_1d05ad86cb36603,hard,0.0031,0.0119,0.0145,0.0018,0.0,tmp_test/keep_outfit/review_local_phase0_6a985fb0_1d05ad86cb36603/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985fb0_1d05ad86cb36603/saree_out.png
6a985fd1_eb043c05196475cd.png,phase0_6a985fd1_eb043c05196475c,hard,0.0106,0.0056,0.0015,0.0,0.0,tmp_test/keep_outfit/review_local_phase0_6a985fd1_eb043c05196475c/saree_sbs.png,tmp_test/keep_outfit/review_local_phase0_6a985fd1_eb043c05196475c/saree_out.png
